pdf,model,n_pages,recommendation,average_score,total_score,max_score,author_credibility_score,author_credibility_justification,research_question_and_methods_score,research_question_and_methods_justification,results_and_conclusion_score,results_and_conclusion_justification,references_score,references_justification,feedback_score,feedback_justification,n_authors,n_institutes,corresponding_author,s2_papers,s2_hindex,author_flags
10.21203_rs.3.rs-8394782_v1.pdf,gpt-4o-mini,13,reject,2.0,8,12,1,"All authors are affiliated with a low-credibility institution with a score of 1. Therefore, they do not meet the requirements for a higher score.",3,"The study clearly articulates its objectives and employs a detailed cross-sectional design, allowing for replication. It addresses a relevant public health issue concerning sarcopenia in older adults in Indonesia.",1,"The results show no statistically significant relationships and lack strong supporting evidence, leading to conclusions that are not fully grounded in the data presented.",3,"The reference list includes a mix of foundational and recent studies, but some key literature may still be missing that could enhance the context of findings.",,Not evaluated automatically. Requires manual check of preprint server.,4,1,Clement Benaya Widjaya,,,low-credibility institution
10.21203_rs.3.rs-8413859_v1.pdf,gpt-4o-mini,31,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible research institutions, and there is some relevant expertise among the authors. However, there are only 2 distinct institutions mentioned in the ROR data and the corresponding author has limited verifiable output based on Semantic Scholar.",3,"The objectives and hypotheses are explicit, testable, and aligned with the study design, and methodology is detailed enough to understand or reproduce the study. The study clearly addresses a pressing public health concern related to maternal health among migrant women.",1,"Results lack supporting figures or tables, and conclusions are overstated and not completely grounded in the evidence presented, leading to a mismatch with the results reported.",3,"The reference list includes a balanced mix of foundational, recent, and domain-relevant peer-reviewed studies, but could benefit from more sources.",,Not evaluated automatically. Requires manual check of preprint server.,9,4,Rahmeth RADJACK,10,1,
10.21203_rs.3.rs-8414528_v1.pdf,gpt-4o-mini,29,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible universities. The study involves 2 institutions, and there are 2 authors with verifiable expertise in the field.",3,"The objectives are clear, testable, and aligned with the study design, focusing on therapeutic approaches for autism spectrum disorder and linking it to public health concerns.",1,"The results are inconsistently reported and conclusions are overstated based on the data, as the effectiveness of treatments shows limited explanation of underlying data.",3,"The references include a mix of peer-reviewed sources and relevant studies, but there are no major or foundational studies that support the work extensively.",,Not evaluated automatically. Requires manual check of preprint server.,7,2,Destanie Rose,30,16,
10.21203_rs.3.rs-8415709_v1.pdf,gpt-4o-mini,13,reject,2.0,8,12,1,All authors are affiliated with a single institution that has been flagged for low credibility. There is no evidence of meaningful collaboration with other institutions. The corresponding author's expertise is unverified due to the match method.,3,"The objectives and hypotheses are explicit, and the methodology is well-detailed, aligning with the study design focused on public health relevance regarding RVO and COVID-19 vaccination.",1,"Results are presented but lack consistency and clarity, particularly in interpretation and conclusions, which appear overstated given the limitations.",3,"The references include a balanced mix of foundational and recent peer-reviewed studies, with appropriate citations to justify methods and contextualize findings.",,Not evaluated automatically. Requires manual check of preprint server.,10,1,Mamta Verma,35,8,low-credibility institution
10.21203_rs.3.rs-8417069_v1.pdf,gpt-4o-mini,19,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible research institutions, but the main author is from a national research institute and there are only 2 institutions involved. There are limited indicators of the corresponding author's expertise due to the unverified match method.",3,"The objectives are explicit and testable, focusing on the combined effect of lime and gypsum on soil acidity and maize yield. The methodology is detailed, allowing for reproducibility. The study addresses a public health concern linked to food security.",1,"The results are reported but lack clear interpretation and connection to the objectives, leading to inconsistent conclusions. There are also instances of overstating the findings.",3,"The reference list includes a balanced mix of foundational, recent, and credible sources, allowing for adequate context and support for the study.",,Not evaluated automatically. Requires manual check of preprint server.,4,2,Getachew Mulatu,13,5,
10.21203_rs.3.rs-8422136_v1.pdf,gpt-4o-mini,20,accept_with_reservations,2.5,10,12,3,"All authors are affiliated with credible and well-established institutions. The majority are educational or research institutions with a high credibility score. Additionally, there are more than three distinct institutions involved, and several authors have verifiable expertise.",3,"The objectives are clear and explicitly tie to the methodology used to study CME propagation, with sufficient details provided for replication. This matches score_3 description.",1,The results lack supporting figures and the conclusions are overstated without the necessary evidence to support them fully. This aligns with score_1 description.,3,The paper includes a balanced mix of foundational and recent peer-reviewed studies but does not reach the depth of coverage indicated in score_3 criteria. It has enough for credibility but does not exceed 20 references.,,Not evaluated automatically. Requires manual check of preprint server.,34,11,Chenglong Shen,,,
10.21203_rs.3.rs-8428476_v1.pdf,gpt-4o-mini,40,accept_with_reservations,2.25,9,12,2,"All authors are associated with credible research institutions, but there are only 2 institutions involved and some uncertainty regarding the expertise of individual authors.",3,"The objectives and hypotheses are explicit and aligned with the detailed ChIP-nexus methodology. The study addresses the differentiation of TFIID function across various promoter types, providing public health relevance in understanding gene regulation.",1,"The results lack clarity and there are significant inconsistencies, such as the conclusion suggesting increased transcriptional bursts not fully supported by the data presented.",3,"The paper includes a balanced mix of foundational and recent peer-reviewed studies, but the number is just at the threshold, and some references may not be as impactful or critical as others.",,Not evaluated automatically. Requires manual check of preprint server.,4,2,Julia Zeitlinger,87,44,
10.21203_rs.3.rs-8429398_v1.pdf,gpt-4o-mini,10,accept_with_reservations,2.0,8,12,2,"All authors are affiliated with institutions that have some research output, but the institutions are not highly recognized globally. There are only 2 institutions involved and the corresponding author does not have clear expertise.",2,"Objectives are clearly stated and aligned with the study design that employs whole exome sequencing to diagnose a rare condition, thus addressing a specific public health concern.",1,"The results presented lack supporting figures or tables, and the conclusions overstate the implications of the findings without sufficient evidence.",3,"The paper includes a balanced mix of recent and relevant peer-reviewed studies, which supports the validity of the findings.",,Not evaluated automatically. Requires manual check of preprint server.,4,2,Qian Dai,4,2,
10.21203_rs.3.rs-8439843_v1.pdf,gpt-4o-mini,9,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible institutions, but only two distinct institutions are involved, and the corresponding author's expertise, while valid, is assessed as weakly confirmed.",3,"The study's objectives and methodology are clear and aligned, detailing field surveys and genetic analyses to investigate species presence, addressing a relevant public health concern related to biodiversity.",1,"Results presented are inconsistent and lack supporting figures, with conclusions overstated and not fully supported by evidence provided in the text.",3,"The reference list includes a balanced mix of foundational and recent peer-reviewed studies, ensuring credible sourcing and thorough grounding of the research.",,Not evaluated automatically. Requires manual check of preprint server.,9,2,Stanzin Dolker,22,6,
10.21203_rs.3.rs-8448387_v1.pdf,gpt-4o-mini,17,reject,2.0,8,12,1,"All authors are affiliated with a single institution, Gulf Medical University, which has a low credibility score. There is no verifiable expertise among the authors, and only one institution is involved.",3,"The study's objectives are clear, well-defined, and directly aligned with the methods used to assess influenza burden and vaccination uptake among university students. The methodology is detailed enough for replication.",1,Results presented in the paper are inconsistent as they lack adequate support and validation from figures or tables. Conclusions drawn are speculative and not well-grounded in the evidence provided.,3,"The reference list is robust, including a mix of foundational and recent peer-reviewed studies, indicating a well-researched background for the study.",,Not evaluated automatically. Requires manual check of preprint server.,5,1,Benzil Binu,6,0,low credibility institution
10.3390_v16020179.pdf,gpt-4o-mini,22,accept_with_reservations,2.5,10,12,3,"All authors are affiliated with credible institutions, including a well-established university and healthcare clinic. The corresponding author has a verified publication record with sufficient citations and h-index, indicating expertise.",3,"The objectives and hypotheses regarding Nipah virus outbreaks and their public health implications are clear and supported by detailed methodology. The study addresses significant public health concerns, with extensive data and open access materials.",1,"The results are presented with minimal supporting evidence, and some conclusions drawn about the implications of the outbreaks appear to be overstated or speculative and lack sufficient grounding in the results.",3,"The reference list contains a balanced mix of foundational, recent, and relevant peer-reviewed studies, providing adequate context. The number of citations supports the work’s credibility.",,Not evaluated automatically. Requires manual check of preprint server.,3,3,Gabriel Reina,19,5,
10.3390_v17030381.pdf,gpt-4o-mini,17,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible research institutions with some research output. The study involves 2 distinct institutions, and the corresponding author has a reasonable publication record. However, there are only 2 authors with verifiable expertise.",3,"The objectives and hypotheses are clear, linked to specific zoonotic viruses in pigs, and aligned with the public health concern of disease outbreaks in India. The methods are implied through detailed descriptions of viral epidemiology, highlighting the public health relevance.",1,"Results and conclusions are not well-supported by presented data, lacking clarity and consistency across sections. The paper does not provide robust figures or tables to validate its findings.",3,The paper includes a reasonable number of references but does not provide a thorough coverage of the most recent and foundational studies necessary for robust scientific context.,,Not evaluated automatically. Requires manual check of preprint server.,5,2,Swaraj Rajkhowa,27,5,
10.3390_v17060866.pdf,gpt-4o-mini,17,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with a credible institution (Mayo Clinic), which has a strong research background. However, there are only three authors with limited institutional diversity, resulting in a score of 2.",3,"The objectives and hypotheses are explicit, focusing on the analysis of henipavirus fusion proteins and their public health relevance, making it grounded for replication. The methodology is detailed and aligned.",1,"The conclusions drawn are speculative and not sufficiently grounded in the evidence presented, lacking clarity and necessary supporting evidence.",3,"The reference list includes a balanced mix of foundational and recent peer-reviewed studies relevant to henipaviruses, providing sufficient context and support for the research.",,Not evaluated automatically. Requires manual check of preprint server.,3,1,Chanakha K. Navaratnarajah,33,20,
10.3390_v17071003.pdf,gpt-4o-mini,22,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with a credible educational institution (University of Georgia), and the corresponding author has a substantial publication record although only one institution is listed.",3,"The objectives and hypotheses are explicit, testable, and aligned with the study design, with a detailed methodology for examining the diagnostic tools for HeV and NiV. The study addresses public health concerns directly related to these viruses.",1,The results lack sufficient supporting figures or tables and do not clearly align with the evidence presented. Conclusions about the effectiveness of diagnostics are not fully grounded in the evidence provided.,3,"The paper includes a balanced mix of foundational and recent peer-reviewed studies, properly contextualizing findings related to HeV and NiV diagnostics.",,Not evaluated automatically. Requires manual check of preprint server.,3,1,Binu T. Velayudhan,39,14,
10.3390_v18010001.pdf,gpt-4o-mini,5,accept_with_reservations,2.25,9,12,2,"The author, Jacques Fantini, is affiliated with Aix-Marseille University, a credible educational institution. While there is only one institution involved, there is some relevant expertise noted in the author's publication record with 29 papers and an h-index of 6, indicating established research capability.",3,"The objectives are explicit and well-connected to the methodologies discussed. The paper details various studies and their methodologies, which align with pressing public health concerns regarding viral outbreaks.",1,"The results are presented without supporting figures or tables, and some conclusions appear speculative without sufficient evidence from the results presented in the text.",3,"The reference count exceeds the threshold for a high-quality score, includes a mix of foundational and more recent studies relevant to the research context.",,Not evaluated automatically. Requires manual check of preprint server.,1,1,Jacques Fantini,29,6,
10.3390_v18010012.pdf,gpt-4o-mini,18,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible universities, but the experience of the corresponding author is uncertain as their expertise does not meet the established thresholds.",3,"The study objectives are clear, testable, and aligned with detailed methods, allowing for replication. It directly addresses public health relevance regarding zoonotic transmission of AIVs.",1,"The results are inadequately explained, lacking sufficient detail and clarity to support the conclusions drawn in the study.",3,"The reference list is robust, including over 20 credible peer-reviewed sources that provide context and support for the research.",,Not evaluated automatically. Requires manual check of preprint server.,11,3,Qianyi Zhang,12,4,
10.3390_v18010013.pdf,gpt-4o-mini,19,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible institutions with relevant expertise. The study involves two main institutions: Niigata University and the University of Leicester. However, the corresponding author has a low publication record (2 papers) and h-index (1), which limits their established expertise. There are no commercial affiliations among the main institutions, but there are multiple clinics involved that are primarily healthcare facilities rather than research-focused.",3,"The objectives and hypotheses are explicit, testable, and the methodology is detailed enough to replicate the study. It addresses a significant public health concern regarding influenza outbreaks.",1,"The results are not well-supported and conclusions seem overstated, with inconsistencies in reporting. The absence of statistical analysis adds to the lack of clarity.",3,"The reference list includes a balanced mix of foundational, recent, and domain-relevant peer-reviewed studies, providing a good context for the work.",,Not evaluated automatically. Requires manual check of preprint server.,20,13,Nanjun Lee,2,1,
10.3390_v18010026.pdf,gpt-4o-mini,20,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible institutions with some research output. The study involves 3 distinct institutions, but only 1 author (Nazish Badar) demonstrates significant research expertise.",3,"The objectives and hypotheses are explicit, and the methodology is detailed enough to understand how the study was conducted and can be reproduced. It clearly addresses a pressing public health concern related to respiratory viruses in Pakistan.",1,"Results are presented but lack supporting figures or tables, and the conclusions drawn are speculative and not fully grounded in the evidence presented.",3,"The paper includes relevant and credible sources, with a balanced mix of foundational and recent studies, providing justification for methods and contextualization of findings.",,Not evaluated automatically. Requires manual check of preprint server.,8,3,Nazish Badar,55,14,
10.3390_v18010043.pdf,gpt-4o-mini,8,accept,2.5,10,12,2,"All authors are affiliated with credible research institutions, but one author is from a commercial entity (TrippBio, Inc.). Relevant expertise is present among the authors.",3,"Objectives and hypotheses are explicit, detailed methodologies suggest replicability, and the study addresses urgent public health needs related to filovirus infections.",2,"While the findings are promising and align with the hypotheses, there are some reporting inconsistencies. Conclusions lack clarity in discussing the implications of results.",3,"A balanced mix of foundational and recent peer-reviewed studies are cited, effectively providing context and support for the study's methodologies and findings.",,Not evaluated automatically. Requires manual check of preprint server.,5,4,David E. Martin,19,8,"commercial affiliation (TrippBio, Inc.)"
10.3390_v18010091.pdf,gpt-4o-mini,12,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible research institutions, and the study involves two institutions. There are two authors with verifiable expertise in the field based on their work and citation metrics.",3,"The objectives and hypotheses are explicit, detailing the virucidal activity of NONS against multiple respiratory viruses, with a methodology that allows for replication of the study. The public health relevance is clear, as it addresses the need for antiviral strategies during outbreaks.",1,"Results are presented, but they lack supporting figures or tables regarding overall consistency, and conclusions appear overstated with inadequate grounding in the evidence provided.",3,"The reference list includes a mix of foundational and recent peer-reviewed studies, supporting the work, with more than 20 references cited.",,Not evaluated automatically. Requires manual check of preprint server.,4,3,Selvarani Vimalanathan,32,15,commercial affiliation with SaNOtize Research & Development Corp.
10.3390_v18010093.pdf,gpt-4o-mini,14,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible universities or research labs, with a total of 10 distinct institutions involved. The main author has authored a limited number of papers, indicating some expertise, but does not meet the threshold for being an established researcher.",3,"The objectives and hypotheses are explicit, testable, and aligned with the study design. Methodology is detailed enough for reproduction, showing a clear public health relevance linked to IDV surveillance.",1,"The results lack clarity and supporting figures, and conclusions drawn from the findings are overstated and speculative, not grounded in the direct evidence presented.",3,"The reference list is relatively balanced and includes credible sources, covering foundational works and recent studies relevant to IDV, with more than 20 references supporting the paper's discussions.",,Not evaluated automatically. Requires manual check of preprint server.,16,10,Renfu Yin,8,2,
10.3390_v18010105.pdf,gpt-4o-mini,24,accept_with_reservations,2.5,10,12,3,"All authors are affiliated with credible institutions, with the main author being from a well-established university. There are more than three distinct institutions involved, and several authors have verifiable expertise in their fields.",3,"The objectives and hypotheses are explicit, testable, and aligned with the study design. Methodology is detailed enough to understand or reproduce the study.",1,"Results lack supporting figures or tables, or are inconsistent with the data and methods described. Conclusions are overstated, speculative, or not grounded in the evidence presented.",3,"The references include a balanced mix of foundational and recent peer-reviewed studies, although some important recent work may be omitted.",,Not evaluated automatically. Requires manual check of preprint server.,8,4,Karin Musier-Forsyth,18,6,
10.3390_v18010117.pdf,gpt-4o-mini,15,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible educational or research institutions, with relevant expertise. However, there are only 2 institutions explicitly recognized based on ROR data, and the corresponding author has a low publication and citation count.",3,"The objectives and hypotheses are explicitly stated and aligned with the study design, detailing the methodology for genetic characterization and analysis of H1N1 viruses. This addresses a pressing public health concern.",1,"The results are not fully supported, as the conclusions drawn from genetic analyses lack clear validation through experimental evidence, indicating inconsistencies or speculative conclusions.",3,"The paper includes a healthy mix of relevant and credible sources, with over 20 references ensuring coverage of key studies in the field.",,Not evaluated automatically. Requires manual check of preprint server.,8,6,Zhijun Yu,3,1,
10.3390_v18010126.pdf,gpt-4o-mini,32,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with a credible institution, Novosibirsk State University, which is an educational entity. The study involves collaboration among the authors, though it comes from a single institution. There are no authors with clearly established expertise based on the Semantic Scholar data.",3,"The objectives and hypotheses are explicit, testable, and aligned with the study design. Methodology is detailed enough to understand or reproduce the study, addressing a pressing public health concern.",1,"The results lack supporting figures or tables, and conclusions may be inconsistent with the data presented. Conclusions are only partially supported by the results.",3,"The paper includes a range of foundational, recent, and domain-relevant peer-reviewed studies, providing a balanced mix but is on the lower end of quality due to the number of references.",,Not evaluated automatically. Requires manual check of preprint server.,5,1,Sergey V. Netesov,7,2,
10.3390_v18010128.pdf,gpt-4o-mini,18,accept_with_reservations,2.25,9,12,2,"Both authors are affiliated with the University of Missouri, which is a credible institution with a recognized research output. However, only one institution is involved, and only one author has a notable research record.",3,"The objectives and methodologies are clearly stated and comprehensive, describing the study's focus on the relationship between viral RNA structure and immune recognition, aligning with score description 3.",1,"The conclusions drawn in the review are cautious and lack the grounding and clarity to support them firmly with the evidence presented, matching score description 1.",3,"The reference list includes a range of studies, but may not fully cover some recent essential work, aligning with score description 2.",,Not evaluated automatically. Requires manual check of preprint server.,2,1,Margaret J. Lange,34,13,
10.3390_v18010132.pdf,gpt-4o-mini,16,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with research-focused institutions, though some affiliations are commercial in nature, which impacts overall credibility. There are 2–3 institutions involved with up to 2 authors having verifiable expertise in the field.",3,"The objectives are explicit and the methodology is detailed, allowing for reproduction. The study addresses a pressing public health concern regarding immune responses to SARS-CoV-2 variants.",1,Some results are reported but lack supporting figures and clear interpretation; the conclusions are speculative and not completely grounded in the presented data.,3,"The references include a balanced mix of foundational and recent peer-reviewed studies, contributing to a well-supported context.",,Not evaluated automatically. Requires manual check of preprint server.,9,3,Kai Duan,54,19,commercial affiliation
10.3390_v18010136.pdf,gpt-4o-mini,23,accept_with_reservations,2.25,9,12,2,"All authors are affiliated with credible research institutions, with some relevant expertise among authors. The study involves 2 institutions, but only one author’s expertise is established with verifiable metrics.",3,"The objectives and hypotheses are clearly stated, and the methodology is detailed enough to allow for replication of the study, addressing a public health concern related to respiratory infections.",1,"The results presented lack supporting figures or tables, and the conclusions drawn are not fully grounded in the evidence presented, marking inconsistencies in reporting.",3,"The reference list includes a balanced mix of foundational and recent peer-reviewed studies, although it might lack some recent work.",,Not evaluated automatically. Requires manual check of preprint server.,9,2,Andrey B. Komissarov,14,4,
10.3390_v18010138.pdf,gpt-4o-mini,20,accept_with_reservations,2.25,9,12,2,All authors are affiliated with credible institutions but the main author is from a government health ministry. There are 5 distinct institutions contributing to the study.,3,"The objectives and hypotheses are explicit and aligned with the detailed methodology provided, allowing for replication. The study addresses a pressing public health concern related to COVID-19 epidemiology in Kazakhstan.",1,"Results are presented but lack clear supporting figures or validation of the findings with consistent interpretation, and conclusions are speculative without strong support from the data.",3,"The reference list includes a mixture of foundational and recent peer-reviewed studies, but does not display an overreliance on non-peer-reviewed sources.",,Not evaluated automatically. Requires manual check of preprint server.,16,5,Aknur Mutaliyeva,5,1,
10.3390_v18010145.pdf,gpt-4o-mini,29,accept_with_reservations,2.5,10,12,3,"All authors are affiliated with credible institutions, with a well-recognized corresponding author from Tulane University Health Sciences Center. At least 3 authors have verifiable expertise.",3,"The objectives are explicit, the methodology is detailed and allows for reproducibility, and the study addresses a significant public health concern regarding SARS-CoV-2 transmission.",1,The results lack consistent support and do not clearly interpret findings based on the evidence presented. There are inconsistencies with the data methods.,3,"The reference list includes a proper mix of foundational and recent peer-reviewed studies relevant to the research, supporting the claims made.",,Not evaluated automatically. Requires manual check of preprint server.,7,4,Srikanta Dash,5,3,
10.3390_v18030277.pdf,gpt-4o-mini,15,accept_with_reservations,2.25,9,12,2,All authors are affiliated with credible institutions having relevant expertise. The study involves 3 institutions and includes up to 2 authors with verifiable expertise.,3,"The objectives are clear, focusing on the impact of mutations in the NTD of the spike protein on antibody recognition and pathogenicity, aligned with detailed methodologies that allow for reproducibility.",1,"Results lack sufficient clarity and may misrepresent findings, with reported phenomena not consistently supported by strong data interpretation.",3,"The reference list is adequate, featuring a mix of foundational and recent peer-reviewed studies relevant to SARS-CoV-2, thus providing a comprehensive context.",,Not evaluated automatically. Requires manual check of preprint server.,11,3,Elena A. Ermolaeva,7,1,
10.3390_v18030279.pdf,gpt-4o-mini,18,accept_with_reservations,2.5,10,12,3,"All authors are affiliated with credible research institutions, including a well-established university, with multiple authors having verifiable expertise in the field.",3,"The objectives are explicit, testable, and aligned with the study design. The methodology is detailed enough to understand and reproduce the study, addressing a pressing public health concern.",1,"The results lack sufficient supporting figures or tables, and the conclusions drawn are inconsistent with the data presented in several instances.",3,"The reference list includes a balanced mix of foundational and recent peer-reviewed studies, providing credible sources that justify methods and contextualize findings.",,Not evaluated automatically. Requires manual check of preprint server.,3,4,Helena Rebelo-de-Andrade,42,14,
